,store,level,latitude,longitude,Stadium_200,Stadium_500,Stadium_1000,Food_200,Food_500,Food_1000,Athletics_Sports_200,Athletics_Sports_500,Athletics_Sports_1000,Parking_200,Parking_500,Parking_1000,Shop_Service_200,Shop_Service_500,Shop_Service_1000,Clothing_Store_200,Clothing_Store_500,Clothing_Store_1000,Bus_Stop_200,Bus_Stop_500,Bus_Stop_1000,Metro_Station_200,Metro_Station_500,Metro_Station_1000
139,"7127 Shackleford Rd, Quinton, AL 35130",non,33.637454,-87.080494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"3607 Sperry Ave #1035, Nashville, TN 37215",non,36.1184891,-86.8278977,0,0,0,0,1,4,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0
141,"731 S Rangeline Rd, Carmel, IN 46032",non,39.9695886,-86.1262492,0,0,1,12,24,50,4,14,44,0,1,2,36,42,50,4,4,12,0,0,0,0,0,0
142,"2803 E Kalamazoo St, Lansing, MI 48912",non,42.7300709,-84.5116912,0,0,0,2,11,42,0,6,20,0,0,2,8,44,50,0,0,11,0,1,4,0,0,0
143,"19900 Conant St, Detroit, MI 48234",non,42.4408244,-83.0789608,0,0,1,0,5,36,0,0,2,0,0,0,8,18,46,1,1,10,0,0,0,0,0,0
144,"200 N MacArthur Hwy, Peoria, IL 61605",non,40.691092,-89.607421,0,0,2,1,3,46,0,0,12,0,0,2,6,9,42,1,1,5,0,0,0,0,0,0
145,"101 Fairground Ave # A, Higginsville, MO 64037",non,39.7426175,-84.1845374,0,0,0,31,46,50,3,4,12,1,3,7,18,34,43,1,3,7,0,0,0,0,0,0
146,"2700 Chamber St, Stevens Point, WI 54481",non,44.5068152,-89.5617015,0,0,0,0,9,18,0,0,4,0,0,0,9,22,44,0,0,0,0,0,0,0,0,0
147,"3907 High St, Lyons Falls, NY 13368",non,43.6161246,-75.3619411,0,0,0,0,2,4,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0
148,"43 Middle St, Portland, ME 04101",non,43.6602147,-70.2503298,0,0,1,24,50,50,5,22,48,4,15,28,23,50,50,0,50,50,0,0,1,0,0,0
149,"53 Finney Blvd, Malone, NY 12953",non,44.8460477,-74.3012855,0,0,0,0,7,17,1,1,2,0,0,0,5,24,42,0,0,6,0,0,1,0,0,0
